User ID : 91731124, Record Number : 75, From : Chiba, To : Chiba
User ID : 91731124, Record Number : 75, From : Chiba, To : Kagawa
User ID : 2700267289, Record Number : 76, From : Kanagawa, To : Aichi
User ID : 2700267289, Record Number : 76, From : Aichi, To : Gifu
User ID : 2700267289, Record Number : 76, From : Gifu, To : Kanagawa
User ID : 2700267289, Record Number : 76, From : Kanagawa, To : Tōkyō
User ID : 2700267289, Record Number : 76, From : Tōkyō, To : Kanagawa
User ID : 2700267289, Record Number : 76, From : Kanagawa, To : Tōkyō
User ID : 2700267289, Record Number : 76, From : Tōkyō, To : Ehime
User ID : 2473653858, Record Number : 78, From : Nagasaki, To : Fukuoka
User ID : 2473653858, Record Number : 78, From : Fukuoka, To : Chiba
User ID : 2473653858, Record Number : 78, From : Chiba, To : Tōkyō
User ID : 2473653858, Record Number : 78, From : Tōkyō, To : Ōsaka
User ID : 2473653858, Record Number : 78, From : Ōsaka, To : Nagasaki
User ID : 2473653858, Record Number : 78, From : Nagasaki, To : Fukuoka
User ID : 54718006, Record Number : 79, From : Kanagawa, To : Tōkyō
User ID : 54718006, Record Number : 79, From : Tōkyō, To : Fukuoka
User ID : 231333956, Record Number : 81, From : Yamaguchi, To : Hiroshima
User ID : 231333956, Record Number : 81, From : Hiroshima, To : Yamaguchi
User ID : 4831583926, Record Number : 83, From : Chiba, To : Tōkyō
User ID : 4831583926, Record Number : 83, From : Tōkyō, To : Chiba
User ID : 89694800, Record Number : 84, From : Tōkyō, To : Chiba
User ID : 163611236, Record Number : 85, From : Aichi, To : Shizuoka
User ID : 232624247, Record Number : 86, From : Aichi, To : Chiba
User ID : 232624247, Record Number : 86, From : Chiba, To : Aichi
User ID : 232624247, Record Number : 86, From : Aichi, To : Tōkyō
User ID : 232624247, Record Number : 86, From : Tōkyō, To : Chiba
User ID : 232624247, Record Number : 86, From : Chiba, To : Tōkyō
User ID : 232624247, Record Number : 86, From : Tōkyō, To : Aichi
User ID : 232624247, Record Number : 86, From : Aichi, To : Kyōto
User ID : 232624247, Record Number : 86, From : Kyōto, To : Aichi
User ID : 1962497762, Record Number : 88, From : Tōkyō, To : Kanagawa
