User ID : 91731124 , Lattitute : 34.21866022, Longitute : 134.0187943, Tweet Number : 887098890226470913, Tweet Status : I'm at 高松空港 in 高松市, 香川県 https://t.co/S3CP5U2paZ
User ID : 2700267289 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887097880514707456, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/52MUdxw2Dx
User ID : 105449207 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887096673859751936, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/yaogWz4EFv
User ID : 16156236 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887092234558025728, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/9h9TA8cDq0
User ID : 2473653858 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 887090281564311552, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/JaHHfeHfdj
User ID : 54718006 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887089446730027008, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/nWeBJDykZE
User ID : 1165695312 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887089143167234048, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/oWzGGxskTi
User ID : 231333956 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887086225391316992, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/Hha2tp3HSn
User ID : 2352734053 , Lattitute : 34.79001694, Longitute : 135.44267178, Tweet Number : 887078842216714241, Tweet Status : I'm at Starbucks Coffee 大阪空港店 - @starbucks_j in 豊中市, 大阪府 https://t.co/6qNnB6konz
User ID : 4831583926 , Lattitute : 35.77353396, Longitute : 140.38836211, Tweet Number : 887077933856301057, Tweet Status : I'm at 空港第2ビル駅 in 成田市, 千葉県 https://t.co/gs63YbYAIX
User ID : 430239213 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 887077885223325698, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/9qsnl97vnj
User ID : 89694800 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 887069645701861376, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/XOXQ3X7Gp2
User ID : 163611236 , Lattitute : 35.17069015, Longitute : 136.88130943, Tweet Number : 887069253039529984, Tweet Status : I'm at 名代きしめん住よし 新幹線上りホーム店 in 名古屋市, 愛知県 https://t.co/I9EFFRE2sI
User ID : 232624247 , Lattitute : 35.17069015, Longitute : 136.88130943, Tweet Number : 887066083949240322, Tweet Status : I'm at 名代きしめん住よし 新幹線上りホーム店 in 名古屋市, 愛知県 https://t.co/qgrQax6gnY
User ID : 2479951548 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887062723229569024, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/7xsAGLqSgv
User ID : 419616401 , Lattitute : 34.97164389, Longitute : 138.38933786, Tweet Number : 887055682981289986, Tweet Status : I'm at JR静岡駅 新幹線ホーム in Shizuoka https://t.co/qs3AtxTUY9
User ID : 1962497762 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887055021162082307, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/4KsLq3Wkra
User ID : 4280241 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887051612711157760, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/yFTkFIc7J7
User ID : 3277047290 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887050245238124544, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/Qhba0y11NS
User ID : 2808820982 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 887037849178079232, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/mohYpAYdkk
