User ID :174831676, Lattitute :34.98468348, Longitute :135.7593201, Tweet Number :8.92169E+17, Tweet Status : I'm at 京都駅 新幹線ホーム in 京都市,,,
User ID :994541006, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.92167E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :41441853, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.92166E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :132482668, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.92162E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :633077608, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.92161E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :278993152, Lattitute :35.9059803, Longitute :139.6231842, Tweet Number :8.92158E+17, Tweet Status : I'm at JR 大宮駅 新幹線ホーム - @jreast_official in さいたま市,,,
User ID :36678668, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.92158E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :139143128, Lattitute :35.6287103, Longitute :139.7401774, Tweet Number :8.92158E+17, Tweet Status : I'm at JR 品川駅 新幹線ホーム in 港区,,,
User ID :4831583926, Lattitute :35.77353396, Longitute :140.3883621, Tweet Number :8.92151E+17, Tweet Status : I'm at 空港第2ビル駅 in 成田市,,,
User ID :3171783336, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.92147E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :128146600, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.92147E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :157537123, Lattitute :38.25988806, Longitute :140.8818566, Tweet Number :8.92145E+17, Tweet Status : I'm at JR仙台駅 新幹線ホーム in 仙台市,,,
User ID :4221016693, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.92144E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :582710885, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.92143E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :69651070, Lattitute :35.74174034, Longitute :139.7575092, Tweet Number :8.9214E+17, Tweet Status : I'm at JR東日本 東京新幹線車両センター in 北区,,,
User ID :2205054823, Lattitute :34.42410125, Longitute :135.2300754, Tweet Number :8.9214E+17, Tweet Status : I'm at ANA関西空港株式会社 https,//t.co/obKQFjTqcY,,
User ID :2595652075, Lattitute :34.66677751, Longitute :133.9189196, Tweet Number :8.9214E+17, Tweet Status : I'm at セブンイレブン ハートイン岡山駅新幹線改札内店 - @711sej in 岡山市,,,
User ID :1492769724, Lattitute :34.66677751, Longitute :133.9189196, Tweet Number :8.92138E+17, Tweet Status : I'm at セブンイレブン ハートイン岡山駅新幹線改札内店 - @711sej in 岡山市,,,
User ID :145995342, Lattitute :35.6287103, Longitute :139.7401774, Tweet Number :8.92135E+17, Tweet Status : I'm at JR 品川駅 新幹線ホーム in 港区,,,
User ID :107880424, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.92126E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :380959374, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.92126E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
