User ID : 174831676 , Lattitute : 34.98468348, Longitute : 135.75932005, Tweet Number : 892169370000142337, Tweet Status : I'm at 京都駅 新幹線ホーム in 京都市, 京都府 https://t.co/n9vn8TJ7EE
User ID : 994541006 , Lattitute : 35.77324804, Longitute : 140.38761726, Tweet Number : 892166884065517568, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/LFMqHYoycn
User ID : 41441853 , Lattitute : 35.77324804, Longitute : 140.38761726, Tweet Number : 892165614822985729, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/VveivqCV21
User ID : 132482668 , Lattitute : 35.77324804, Longitute : 140.38761726, Tweet Number : 892161805488967680, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/5P6FbWJQNS
User ID : 633077608 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892161299953717248, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/rDtl8AhAUb
User ID : 278993152 , Lattitute : 35.9059803, Longitute : 139.6231842, Tweet Number : 892158211717033984, Tweet Status : I'm at JR 大宮駅 新幹線ホーム - @jreast_official in さいたま市, 埼玉県 https://t.co/eqUKk4amQr
User ID : 36678668 , Lattitute : 35.68113055, Longitute : 139.76775131, Tweet Number : 892158140942340096, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/QToxHnqMJs
User ID : 139143128 , Lattitute : 35.6287103, Longitute : 139.74017736, Tweet Number : 892157642373816320, Tweet Status : I'm at JR 品川駅 新幹線ホーム in 港区, 東京都 https://t.co/FzSF786gvt
User ID : 4831583926 , Lattitute : 35.77353396, Longitute : 140.38836211, Tweet Number : 892150891029123076, Tweet Status : I'm at 空港第2ビル駅 in 成田市, 千葉県 https://t.co/tzf9p0gv7F
User ID : 3171783336 , Lattitute : 35.68113055, Longitute : 139.76775131, Tweet Number : 892146892355903490, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/CFlWYeKfzT
User ID : 128146600 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892146852690374656, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/h0U8z1KKV8
User ID : 157537123 , Lattitute : 38.25988806, Longitute : 140.8818566, Tweet Number : 892144746063433729, Tweet Status : I'm at JR仙台駅 新幹線ホーム in 仙台市, 宮城県 https://t.co/db6RieTBQl
User ID : 4221016693 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892143870745694212, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/FD3iRQAU06
User ID : 582710885 , Lattitute : 35.77324804, Longitute : 140.38761726, Tweet Number : 892143430121512964, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/QqtTqftlW8
User ID : 36678668 , Lattitute : 36.32256813, Longitute : 139.01304066, Tweet Number : 892143243051380738, Tweet Status : I'm at 上越・北陸新幹線 高崎駅 - @jreast_official in 高崎市, 群馬県 https://t.co/6iszw0SUu8
User ID : 69651070 , Lattitute : 35.74174034, Longitute : 139.75750923, Tweet Number : 892139906537074688, Tweet Status : I'm at JR東日本 東京新幹線車両センター in 北区, 東京都 https://t.co/bm9Ne7FWvt
User ID : 2205054823 , Lattitute : 34.42410125, Longitute : 135.23007542, Tweet Number : 892139722486800386, Tweet Status : I'm at ANA関西空港株式会社 https://t.co/obKQFjTqcY
User ID : 2595652075 , Lattitute : 34.66677751, Longitute : 133.91891956, Tweet Number : 892139534686801920, Tweet Status : I'm at セブンイレブン ハートイン岡山駅新幹線改札内店 - @711sej in 岡山市, 岡山県 w/ @g_t_anitetu https://t.co/DP580QybfB
User ID : 1492769724 , Lattitute : 34.66677751, Longitute : 133.91891956, Tweet Number : 892138073085136896, Tweet Status : I'm at セブンイレブン ハートイン岡山駅新幹線改札内店 - @711sej in 岡山市, 岡山県 https://t.co/CtpNU7PpNi
User ID : 145995342 , Lattitute : 35.6287103, Longitute : 139.74017736, Tweet Number : 892135464605495298, Tweet Status : I'm at JR 品川駅 新幹線ホーム in 港区, 東京都 https://t.co/m3SIcIfQWm
User ID : 2205054823 , Lattitute : 34.43588895, Longitute : 135.24208503, Tweet Number : 892130717198635009, Tweet Status : I'm at 南海バス 空港駅 バス停 in 泉佐野市, 大阪府 https://t.co/iXp4LMfdap
User ID : 2205054823 , Lattitute : 34.43647886, Longitute : 135.24309207, Tweet Number : 892128630062673920, Tweet Status : I'm at ホテル日航関西空港 in 泉佐野市, 大阪府 https://t.co/V5wmm8jngV
User ID : 107880424 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892126489319276545, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/CSWSJ5jd8F
User ID : 380959374 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892125671845236736, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/fEJWL3YEiW
User ID : 757016683403808768 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892122099795492864, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/L877mInEDy
User ID : 174831676 , Lattitute : 35.62930311, Longitute : 139.74002768, Tweet Number : 892121410939891713, Tweet Status : I'm at JR 品川駅 新幹線待合室 in 港区, 東京都 w/ @ichigojuice42 https://t.co/Fchm14cfuc
User ID : 426472066 , Lattitute : 35.55375575, Longitute : 139.78292368, Tweet Number : 892024490640760832, Tweet Status : I'm at 空港中央出入口 in 大田区, 東京都 https://t.co/cMUEPVNvK9
User ID : 426472066 , Lattitute : 35.56688948, Longitute : 139.7640574, Tweet Number : 892024407992000514, Tweet Status : I'm at 空港北トンネル in 大田区, 東京都 https://t.co/xMWFjKd0wS
User ID : 87224991 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892022289532899329, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/Iz5VwlA3Hb
User ID : 1117341643 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892021937270075392, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/ks2BfoG2JP
User ID : 342688419 , Lattitute : 34.43588535, Longitute : 135.24348021, Tweet Number : 892021641471033346, Tweet Status : I'm at 関西空港駅 in 泉佐野市, 大阪府 https://t.co/T03nZCJBzk
User ID : 169419556 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892019457685639169, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/SIy2SCpoF8
User ID : 605985353 , Lattitute : 34.86025664, Longitute : 136.8161347, Tweet Number : 892017318737346563, Tweet Status : I'm at 中部国際空港駅 1番ホーム in 常滑市, 愛知県 https://t.co/hsA5Kx7nKp
User ID : 3560621960 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892015748733964288, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/2umk6hPV95
User ID : 120286362 , Lattitute : 35.16906249, Longitute : 136.88131417, Tweet Number : 892013320366116864, Tweet Status : I'm at 居酒屋 鶴八 新幹線駅前店 in Nagoya-shi, 愛知県 https://t.co/O1BXBOPbSO
User ID : 425713553 , Lattitute : 34.98468348, Longitute : 135.75932005, Tweet Number : 892013247192342528, Tweet Status : I'm at 京都駅 新幹線ホーム in 京都市, 京都府 https://t.co/JdhZeqFnca
User ID : 707636043562901504 , Lattitute : 34.43588535, Longitute : 135.24348021, Tweet Number : 892012046505713664, Tweet Status : I'm at 関西空港駅 in 泉佐野市, 大阪府 https://t.co/yAqEw9DHEM
User ID : 125950361 , Lattitute : 34.8600223, Longitute : 136.81606376, Tweet Number : 892011641751175168, Tweet Status : I'm at 中部国際空港駅 in Tokoname, Aichi https://t.co/wcUizKcL6t
User ID : 1880216456 , Lattitute : 35.77324804, Longitute : 140.38761726, Tweet Number : 892010457904685056, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/NkLiHoIxla
User ID : 135781931 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 892009584918966275, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/aoZVegTCo5
User ID : 1339177244 , Lattitute : 35.77324804, Longitute : 140.38761726, Tweet Number : 892007053891432448, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/Vg6WEtlf8v
User ID : 127850518 , Lattitute : 34.85944729, Longitute : 136.81485788, Tweet Number : 892005321752944641, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/j1tV8peWBP
User ID : 873357044 , Lattitute : 35.77324804, Longitute : 140.38761726, Tweet Number : 892005114113871872, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/LoLx6qEqi1
User ID : 605985353 , Lattitute : 34.85944729, Longitute : 136.81485788, Tweet Number : 892004028355424256, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/9wftSMdBDf
User ID : 6855912 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 892003267726766080, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/mFIY6zmA3K
