User ID : 59464659 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872600000634769409, User Location : Shinagawa city in Tokyo, Japan, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/lfiV70vtuk
User ID : 124176013 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872598151923986432, User Location : 布団の中, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/kfoIwYs0VE https://t.co/PHJ4JpAsZG
User ID : 166052077 , Lattitute : 35.77284377, Longitute : 140.38731466, Tweet Number : 872596730449190912, User Location : ロボットガールズZ, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/mSAyycYjD5
User ID : 122707120 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872594274075934720, User Location : バランスとって楽しく推し事@北区, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/DFy168LNCn
User ID : 146505481 , Lattitute : 34.86026146, Longitute : 136.81532131, Tweet Number : 872592092572389377, User Location : wherever, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/AiXvStxsAJ
User ID : 25479375 , Lattitute : 35.77284377, Longitute : 140.38731466, Tweet Number : 872589983877562368, User Location : 神奈 横浜市 青葉区, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/kumTkz5BL1
User ID : 1643905676 , Lattitute : 35.68093543, Longitute : 139.7676964, Tweet Number : 872589402572300289, User Location : 静岡 愛知, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/47kkTDlG0O
User ID : 69305132 , Lattitute : 34.98468553, Longitute : 135.75944038, Tweet Number : 872587274550206469, User Location : Otsu, Japan, Tweet Status : I'm at 京都駅 新幹線ホーム in 京都市, 京都府 https://t.co/gLAUWXqBTs
User ID : 152993019 , Lattitute : 34.86026146, Longitute : 136.81532131, Tweet Number : 872587087630958593, User Location : さくら県出身のNMB住み, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/HkSKJLBmNH
User ID : 152993019 , Lattitute : 34.8600223, Longitute : 136.81606376, Tweet Number : 872586984778338304, User Location : さくら県出身のNMB住み, Tweet Status : I'm at 中部国際空港駅 in Tokoname, Aichi https://t.co/62sEBfESaQ
User ID : 2951167880 , Lattitute : 38.259506, Longitute : 140.88208, Tweet Number : 872585841184473088, User Location : 宮城県 仙台市　艦これ痛車支部東北分隊, Tweet Status : I'm at 仙台駅 新幹線南口改札 in 仙台市, 宮城県 https://t.co/VH4Gdkany9
User ID : 119256780 , Lattitute : 35.71268785, Longitute : 139.77634801, Tweet Number : 872583566948958208, User Location : 栃木県 那須塩原市, Tweet Status : I'm at JR上野駅 新幹線ホーム in 台東区, 東京都 https://t.co/uOl3je1hda
